央视,#genre#
潼南综合,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=TNZH
武隆综合,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=WXZH
巫溪综合,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=wlzh
万州综合,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=wanzhouHD
秀山综合,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=xiushan
永川综合,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=YCZH
云阳综合,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=jiangjinHD
酉阳综合,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=youyang

北京,#genre#
北京纪实科教,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=bjayjsSD
北京卡酷,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=bjkakuSD
中华特产,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=techan
生态环境,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=shengtai
四海钓鱼,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=diaoyu
车迷频道,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=doxtv
百姓健康,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=jiankangSD
环球奇观,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=car
环球旅游,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=huanqiulvyou
优优宝贝,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=youxi
证券服务,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=jiazheng
聚鲨环球精选,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=jusha

上海,#genre#
东方财经,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=dfcj
欢笑剧场,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=hxjc_4K
都市剧场,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=dsjcHD
魅力足球,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=mlzqHD
动漫秀场,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=dmxcHD
游戏风云,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=yxfyHD
生活时尚,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=shenghuo
法治天地,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=fazhi
金色学堂,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=jinse

教育,#genre#
CETV1,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=cetv-1SD
CETV4,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=cetv-4SD
CETV,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=zaojiaoHD
山东教育,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=sdjiaoyuSD

回看,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
上海纪实人文,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8
北京纪实科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
NewTV东北热剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
NewTV军事评论,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
NewTV军旅剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
NewTV农业致富,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8
NewTV古装剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
NewTV家庭剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
NewTV怡伴健康,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8
NewTV惊悚悬疑,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
NewTV明星大片,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
NewTV欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
NewTV武搏世界,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8
NewTV海外剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
NewTV潮妈辣婆,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
NewTV炫舞未来,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225719/index.m3u8
NewTV爱情喜剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
NewTV精品体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
NewTV精品大剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
NewTV精品纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
NewTV精品萌宠,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226505/index.m3u8
NewTV超级体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
NewTV超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
NewTV超级电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
NewTV超级综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
NewTV金牌综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8

其他,#genre#
家有购物,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=jygw
新动漫,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=dongman
收藏天下,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=soucang
国学频道,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=guoxue
快乐垂钓,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=klcdHD
金鹰卡通,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=jinyingSD
先锋乒羽,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=xianfeng
风尚购物,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=fsgw
财富天下,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=caifu
天元围棋,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=weiqi
摄影频道,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=sheying
求索纪录,https://res.mxd.bee-zh.cn/cqyx/cqyx.php?id=qsjlHD
